Date,Index
2016-07-04,710.0
2016-07-01,691.0
2016-06-30,662.0
2016-06-29,634.0
2016-06-28,618.0
2016-06-27,601.0
2016-06-24,585.0
2016-06-23,569.0
2016-06-22,556.0
2016-06-21,548.0
2016-06-20,546.0
2016-06-17,546.0
2016-06-16,545.0
2016-06-15,545.0
2016-06-14,543.0
2016-06-13,542.0
2016-06-10,543.0
2016-06-09,543.0
2016-06-08,540.0
2016-06-07,542.0
2016-06-06,544.0
2016-06-03,550.0
2016-06-02,560.0
2016-06-01,568.0
2016-05-31,574.0
2016-05-27,582.0
2016-05-26,586.0
2016-05-25,596.0
2016-05-24,608.0
2016-05-23,611.0
2016-05-20,614.0
2016-05-19,617.0
2016-05-18,611.0
2016-05-17,604.0
2016-05-16,598.0
2016-05-13,597.0
2016-05-12,589.0
2016-05-11,583.0
2016-05-10,581.0
2016-05-09,584.0
2016-05-06,591.0
2016-05-05,607.0
2016-05-04,621.0
2016-05-03,640.0
2016-04-29,667.0
2016-04-28,685.0
2016-04-27,704.0
2016-04-26,718.0
2016-04-25,727.0
2016-04-22,736.0
2016-04-21,743.0
2016-04-20,747.0
2016-04-19,746.0
2016-04-18,740.0
2016-04-15,727.0
2016-04-14,700.0
2016-04-13,678.0
2016-04-12,666.0
2016-04-11,654.0
2016-04-08,643.0
2016-04-07,627.0
2016-04-06,619.0
2016-04-05,596.0
2016-04-04,563.0
2016-04-01,535.0
2016-03-31,501.0
2016-03-30,484.0
2016-03-29,471.0
2016-03-24,466.0
2016-03-23,458.0
2016-03-22,455.0
2016-03-21,459.0
2016-03-18,463.0
2016-03-17,467.0
2016-03-16,474.0
2016-03-15,481.0
2016-03-14,481.0
2016-03-11,477.0
2016-03-10,466.0
2016-03-09,447.0
2016-03-08,422.0
2016-03-07,397.0
2016-03-04,386.0
2016-03-03,374.0
2016-03-02,364.0
2016-03-01,357.0
2016-02-29,354.0
2016-02-26,352.0
2016-02-25,346.0
2016-02-24,346.0
2016-02-23,346.0
2016-02-22,350.0
2016-02-19,355.0
2016-02-18,358.0
2016-02-17,357.0
2016-02-16,346.0
2016-02-15,334.0
2016-02-12,324.0
2016-02-11,312.0
2016-02-10,301.0
2016-02-09,297.0
2016-02-08,298.0
2016-02-05,295.0
2016-02-04,289.0
2016-02-03,284.0
2016-02-02,282.0
2016-02-01,282.0
2016-01-29,287.0
2016-01-28,293.0
2016-01-27,303.0
2016-01-26,312.0
2016-01-25,325.0
2016-01-22,334.0
2016-01-21,346.0
2016-01-20,360.0
2016-01-19,369.0
2016-01-18,375.0
2016-01-15,381.0
2016-01-14,388.0
2016-01-13,399.0
2016-01-12,411.0
2016-01-11,420.0
2016-01-08,434.0
2016-01-07,450.0
2016-01-06,464.0
2016-01-05,466.0
2016-01-04,464.0
2015-12-24,462.0
2015-12-23,457.0
2015-12-22,445.0
2015-12-21,433.0
2015-12-18,426.0
2015-12-17,421.0
2015-12-16,415.0
2015-12-15,411.0
2015-12-14,410.0
2015-12-11,410.0
2015-12-10,408.0
2015-12-09,412.0
2015-12-08,420.0
2015-12-07,426.0
2015-12-04,433.0
2015-12-03,438.0
2015-12-02,446.0
2015-12-01,450.0
2015-11-30,453.0
2015-11-27,456.0
2015-11-26,459.0
2015-11-25,463.0
2015-11-24,460.0
2015-11-23,461.0
2015-11-20,463.0
2015-11-19,468.0
2015-11-18,477.0
2015-11-17,487.0
2015-11-16,500.0
2015-11-13,514.0
2015-11-12,534.0
2015-11-11,555.0
2015-11-10,575.0
2015-11-09,589.0
2015-11-06,603.0
2015-11-05,618.0
2015-11-04,636.0
2015-11-03,653.0
2015-11-02,665.0
2015-10-30,675.0
2015-10-29,682.0
2015-10-28,687.0
2015-10-27,686.0
2015-10-26,681.0
2015-10-23,683.0
2015-10-22,685.0
2015-10-21,693.0
2015-10-20,701.0
2015-10-19,710.0
2015-10-16,722.0
2015-10-15,742.0
2015-10-14,761.0
2015-10-13,770.0
2015-10-12,768.0
2015-10-09,761.0
2015-10-08,736.0
2015-10-07,709.0
2015-10-06,700.0
2015-10-05,699.0
2015-10-02,701.0
2015-10-01,704.0
2015-09-30,712.0
2015-09-29,725.0
2015-09-28,738.0
2015-09-25,744.0
2015-09-24,751.0
2015-09-23,761.0
2015-09-22,769.0
2015-09-21,769.0
2015-09-18,753.0
2015-09-17,727.0
2015-09-16,716.0
2015-09-15,720.0
2015-09-14,723.0
2015-09-11,735.0
2015-09-10,751.0
2015-09-09,776.0
2015-09-08,793.0
2015-09-07,812.0
2015-09-04,837.0
2015-09-03,870.0
2015-09-02,912.0
2015-09-01,949.0
2015-08-28,974.0
2015-08-27,1000.0
2015-08-26,1031.0
2015-08-25,1047.0
2015-08-24,1052.0
2015-08-21,1054.0
2015-08-20,1052.0
2015-08-19,1049.0
2015-08-18,1052.0
2015-08-17,1057.0
2015-08-14,1057.0
2015-08-13,1054.0
2015-08-12,1053.0
2015-08-11,1043.0
2015-08-10,1028.0
2015-08-07,1021.0
2015-08-06,1013.0
2015-08-05,1005.0
2015-08-04,1001.0
2015-08-03,1006.0
2015-07-31,1023.0
2015-07-30,1044.0
2015-07-29,1069.0
2015-07-28,1095.0
2015-07-27,1115.0
2015-07-24,1137.0
2015-07-23,1161.0
2015-07-22,1179.0
2015-07-21,1179.0
2015-07-20,1170.0
2015-07-17,1162.0
2015-07-16,1149.0
2015-07-15,1122.0
2015-07-14,1096.0
2015-07-13,1076.0
2015-07-10,1052.0
2015-07-09,1016.0
2015-07-08,973.0
2015-07-07,945.0
2015-07-06,927.0
2015-07-03,908.0
2015-07-02,883.0
2015-07-01,858.0
2015-06-30,845.0
2015-06-29,838.0
2015-06-26,833.0
2015-06-25,827.0
2015-06-24,829.0
2015-06-23,834.0
2015-06-22,845.0
2015-06-19,851.0
2015-06-18,847.0
2015-06-17,817.0
2015-06-16,772.0
2015-06-15,742.0
2015-06-12,719.0
2015-06-11,696.0
2015-06-10,662.0
2015-06-09,630.0
2015-06-08,608.0
2015-06-05,596.0
2015-06-04,570.0
2015-06-03,544.0
2015-06-02,528.0
2015-06-01,522.0
2015-05-29,524.0
2015-05-28,525.0
2015-05-27,530.0
2015-05-26,540.0
2015-05-22,549.0
2015-05-21,556.0
2015-05-20,565.0
2015-05-19,574.0
2015-05-18,578.0
2015-05-15,579.0
2015-05-14,580.0
2015-05-13,584.0
2015-05-12,583.0
2015-05-11,586.0
2015-05-08,594.0
2015-05-07,603.0
2015-05-06,618.0
2015-05-05,633.0
2015-05-01,647.0
2015-04-30,658.0
2015-04-29,673.0
2015-04-28,685.0
2015-04-27,687.0
2015-04-24,685.0
2015-04-23,680.0
2015-04-22,669.0
2015-04-21,659.0
2015-04-20,646.0
2015-04-17,642.0
2015-04-16,636.0
2015-04-15,626.0
2015-04-14,619.0
2015-04-13,609.0
2015-04-10,600.0
2015-04-09,591.0
2015-04-08,585.0
2015-04-07,584.0
2015-04-02,589.0
2015-04-01,596.0
2015-03-31,598.0
2015-03-30,600.0
2015-03-27,597.0
2015-03-26,599.0
2015-03-25,602.0
2015-03-24,609.0
2015-03-23,617.0
2015-03-20,617.0
2015-03-19,613.0
2015-03-18,604.0
2015-03-17,595.0
2015-03-16,588.0
2015-03-13,585.0
2015-03-12,586.0
2015-03-11,588.0
2015-03-10,591.0
2015-03-09,590.0
2015-03-06,587.0
2015-03-05,583.0
2015-03-04,576.0
2015-03-03,564.0
2015-03-02,551.0
2015-02-27,540.0
2015-02-26,531.0
2015-02-25,519.0
2015-02-24,514.0
2015-02-23,512.0
2015-02-20,514.0
2015-02-19,516.0
2015-02-18,514.0
2015-02-17,508.0
2015-02-16,505.0
2015-02-13,499.0
2015-02-12,489.0
2015-02-11,469.0
2015-02-10,446.0
2015-02-09,434.0
2015-02-06,430.0
2015-02-05,428.0
2015-02-04,437.0
2015-02-03,454.0
2015-02-02,480.0
2015-01-30,508.0
2015-01-29,550.0
2015-01-28,620.0
2015-01-27,648.0
2015-01-26,669.0
2015-01-23,685.0
2015-01-22,704.0
2015-01-21,725.0
2015-01-20,741.0
2015-01-19,751.0
2015-01-16,759.0
2015-01-15,766.0
2015-01-14,766.0
2015-01-13,766.0
2015-01-12,762.0
2015-01-09,764.0
2015-01-08,776.0
2015-01-07,780.0
2015-01-06,794.0
2015-01-05,811.0
2015-01-02,827.0
